Code,Description,Unit_Cost,Unit_Price,Unit_Profit,Amount_Sold,Margin%,Total_Cost,Total_Sale,Total_Profit,Month,Year
68688,Cornoral English 400G,17.32,36.99,19.67,6.0,53.176534198432016,103.9,221.94,118.04,7,2024
26673,Red English Paste 400G,17.32,36.99,19.67,1.0,53.176534198432016,17.32,36.99,19.67,7,2024
5654,750Ml Yellow Policy Wax,2.85,5.99,3.14,3.0,52.42070116861436,8.55,17.97,9.42,7,2024
5655,Colorless Polyter Wax 750Ml,3.39,5.99,2.6,12.0,43.40567612687813,40.64,71.88,31.24,7,2024
11054,Green Polyrístri Wax 1.75Lt,7.08,12.99,5.91,2.0,45.49653579676674,14.17,25.98,11.81,7,2024
5653,Green Polytrix Wax 750Ml,3.39,5.99,2.6,12.0,43.40567612687813,40.64,71.88,31.24,7,2024
11055,Red Police Wax 1.75Lt,7.7,12.99,5.29,4.0,40.72363356428021,30.79,51.96,21.17,7,2024
9569,750Ml Red Polytrix Wax,2.85,5.99,3.14,4.0,52.42070116861436,11.4,23.96,12.56,7,2024
5395,Zupp Cere Perfume.Ver 750Ml,3.06,5.99,2.93,3.0,48.91485809682805,9.17,17.97,8.8,7,2024
51457,Cerv Anarctica Subzero Lt 269Ml,2.16,2.49,0.33,78.0,13.253012048192772,168.4,194.22000000000003,25.82,7,2024
78891,Cerv Black Princess Gold P Malt Ln 330Ml,4.01,5.12,1.11,12.0,21.679687500000007,48.11,61.44,13.33,7,2024
54676,Cerv Brahma Chopp Pilsen 350Ml Cx12X1,31.9,37.78,5.88,36.0,15.563790365272636,1148.26,1360.08,211.82,7,2024
54668,Cerv Brahma Chopp Pilsen Lt 269Mlcx15X1,34.54,41.24,6.7,47.0,16.246362754607183,1623.38,1938.28,314.9,7,2024
53444,Cerv Itaipava Pilsen Lt 269Ml Cx12X1,21.97,28.75,6.78,17.0,23.582608695652176,373.52,488.75,115.23,7,2024
74994,Original Antarctica Beer 269Ml Cx15X,42.44,48.56,6.12,19.0,12.602965403624392,806.27,922.64,116.37,7,2024
62284,Amstel Lager Lata 269Ml Beer,2.63,3.11,0.48,251.0,15.434083601286176,660.88,780.61,119.73,7,2024
62324,Amstel Lager Lata 269Ml Cx12 Beer,31.6,36.87,5.27,87.0,14.293463520477342,2748.85,3207.69,458.84,7,2024
77177,Beer Amstel Lata Sleek 350Ml,3.14,3.82,0.68,594.0,17.801047120418843,1863.38,2269.08,405.7,7,2024
77372,Beer Amstel Lata Sleek 350Ml Cx12X1,37.64,44.95,7.31,134.0,16.262513904338157,5044.3,6023.3,979.0,7,2024
79006,Beer Amstel Long Neck 355Ml,3.72,4.69,0.97,9.0,20.682302771855014,33.47,42.21,8.74,7,2024
57468,Anarctica Lat 350Ml Cx12X1 Beer,31.92,37.67,5.75,113.0,15.26413591717547,3606.84,4256.71,649.87,7,2024
48856,Anarctica Lat 350Ml Cx18X1 Beer,47.89,55.73,7.84,33.0,14.067827023147313,1580.31,1839.09,258.78,7,2024
68141,Original Antarctica Beer 269Ml,2.83,3.38,0.55,132.0,16.27218934911242,373.43,446.16,72.73,7,2024
70831,Original Antarctica Beer Lt 350Ml,3.66,4.47,0.81,26.0,18.12080536912751,95.11,116.22,21.11,7,2024
70832,Original Antarctica Beer Lt 350Ml Cx1,43.9,52.48,8.58,12.0,16.349085365853654,526.75,629.76,103.01,7,2024
54644,Beer Antarctica Toothpick W/15 269Ml,36.14,41.35,5.21,107.0,12.59975816203144,3866.45,4424.45,558.0,7,2024
45520,Antarctica Beer Pilsen Lat 350Ml,2.66,3.2,0.54,529.0,16.875,1407.01,1692.8000000000002,285.79,7,2024
38147,Anarctica Beer Pilsen Lt 269Ml,2.41,2.87,0.46,349.0,16.02787456445993,840.74,1001.63,160.89,7,2024
51853,Original Antartic Beer 600Ml,7.91,8.99,1.08,4.0,12.013348164627365,31.63,35.96,4.33,7,2024
2586,Pilsen Tin 350Ml Bavaria Beer,2.2,2.93,0.73,990.0,24.914675767918087,2178.0,2900.7000000000003,722.7,7,2024
67551,Black Princess Gold P Malt Lt 35,3.38,3.99,0.61,3.0,15.288220551378451,10.14,11.97,1.83,7,2024
2585,Pure Bohemia Beer Malte Tin 350Ml,3.0,3.59,0.59,39.0,16.434540389972142,116.88,140.01,23.13,7,2024
61930,Pure Bohemia Beer Malt Can 350Ml C,35.96,41.88,5.92,17.0,14.135625596943653,611.39,711.96,100.57,7,2024
1798,Brahma Beer Chopp Pilsen 350Ml,2.66,3.23,0.57,140.0,17.647058823529406,372.12,452.2,80.08,7,2024
42132,Brahma Chopp Beer Pilsen Lt 269Ml,2.29,2.84,0.55,96.0,19.366197183098585,219.56,272.64,53.08,7,2024
56447,Brahma Beer Chopp Zero 355Ml,3.92,4.73,0.81,18.0,17.1247357293869,70.6,85.14000000000001,14.54,7,2024
64358,Brahma Dp Malte Lt Sleek 350Ml,3.08,3.71,0.63,124.0,16.981132075471695,381.3,460.04,78.74,7,2024
64373,Brahma Double Malte Can Brahma 350Ml C,36.9,44.04,7.14,10.0,16.212534059945504,369.0,440.4,71.4,7,2024
78542,Brahma Malzbier Beer Tin 350Ml,3.75,4.49,0.74,4.0,16.481069042316264,14.99,17.96,2.97,7,2024
39741,Brahma Zr/Alc 350Ml Beer,3.16,3.88,0.72,156.0,18.55670103092783,492.65,605.28,112.63,7,2024
54643,Brahma Zr/Alc 350Ml Beer W/12,37.9,45.72,7.82,15.0,17.10411198600175,568.44,685.8,117.36,7,2024
60619,Budweiser King 330Ml Cashier 6X1 Beer,26.99,30.63,3.64,7.0,11.883774077701602,188.92,214.41,25.49,7,2024
59994,Budweiser King Beers 330Ml Beer,4.48,5.13,0.65,38.0,12.67056530214424,170.08,194.94,24.86,7,2024
54667,Budweiser Pal 269Ml Cx08X1 Beer,19.94,23.42,3.48,65.0,14.859094790777114,1296.36,1522.3000000000002,225.94,7,2024
50107,Budweiser Pal Lat269Ml Beer,2.49,3.03,0.54,176.0,17.82178217821781,438.77,533.28,94.51,7,2024
24771,Budweiser Sleek Beer 350Ml,2.97,3.64,0.67,144.0,18.406593406593405,428.06,524.16,96.1,7,2024
72231,Budweiser Sleek Beer Can 350Ml Cx12,36.09,41.97,5.88,32.0,14.01000714796282,1155.01,1343.04,188.03,7,2024
74647,Budweiser Zero Can 350Ml Beer,3.5,3.99,0.49,19.0,12.28070175438597,66.41,75.81,9.4,7,2024
74659,Budweiser Zero Can 350Ml Cx/8,27.96,31.92,3.96,2.0,12.406015037593988,55.92,63.84,7.92,7,2024
74648,Budweiser Zero Long Neck 330Ml Beer,4.5,5.02,0.52,15.0,10.358565737051784,67.47,75.3,7.83,7,2024
1804,Beer Caracu L.Neck355Ml,4.58,5.54,0.96,8.0,17.328519855595665,36.66,44.32,7.66,7,2024
1805,Caracu Caracu 350Ml Beer,3.75,4.58,0.83,137.0,18.12227074235808,513.34,627.46,114.12,7,2024
65918,Corona Extr L.Neck 330Ml Cx06X1 Beer,33.17,39.54,6.37,6.0,16.110268082953965,199.01,237.24,38.23,7,2024
63287,Extra Long Neck 330Ml Corona Beer,5.54,6.58,1.04,34.0,15.80547112462006,188.2,223.72,35.52,7,2024
51807,Extra L.Nec 210Ml Coronite Beer,3.92,4.5,0.58,21.0,12.888888888888893,82.22,94.5,12.28,7,2024
65876,Extra L.Nec 210Ml Cx06 Coronite Beer,23.49,27.54,4.05,6.0,14.70588235294118,140.94,165.24,24.3,7,2024
75386,Eisenbahn Ipa Lata 350Ml Beer,3.84,4.69,0.85,12.0,18.12366737739873,46.08,56.28,10.2,7,2024
67013,Beer Ears Of Goias Can 350Ml,2.08,2.52,0.44,308.0,17.46031746031746,639.1,776.16,137.06,7,2024
77748,Heineken Beer 0.0% Alcohol Tin Sleek 3,4.68,5.63,0.95,17.0,16.87388987566608,79.53,95.71,16.18,7,2024
43724,Heineken Beer 600Ml,10.43,12.15,1.72,27.0,14.15637860082305,281.58,328.05,46.47,7,2024
48089,Heineken Beer L Neck 250Ml,4.34,5.19,0.85,47.0,16.377649325626216,203.84,243.93,40.09,7,2024
54665,Heineken Beer L Neck C12 250Ml,52.04,59.88,7.84,1.0,13.09,52.04,59.88,7.84,7,2024
54699,Heineken Beer L.Neck 330Ml Cx06X1,32.73,40.41,7.68,75.0,19.0,2455.07,3030.9,575.83,7,2024
73395,Heineken Beer Can 269Ml,3.58,4.41,0.83,49.0,18.88,175.22,216.01,40.79,7,2024
73470,Heineken Beer Can 269Ml Cx/8X1,28.61,34.32,5.71,4.0,16.64,114.43,137.28,22.85,7,2024
77090,Heineken Beer Sleek 350Ml,4.68,5.61,0.93,116.0,16.64,542.53,650.84,108.31,7,2024
77063,Heineken Beer Sleek 350Ml Cx12U,56.12,66.51,10.39,57.0,15.62,3199.07,3791.16,592.09,7,2024
50043,Beer Heineken Long Neck 330Ml,5.44,6.87,1.43,95.0,20.85,516.35,652.35,136.0,7,2024
66318,Heineken Beer Zero Long Neck 330Ml,5.75,7.19,1.44,20.0,20.03,115.0,143.8,28.8,7,2024
73460,Heineken Beer Zero Long Neck 330Ml C,34.5,41.94,7.44,1.0,17.74,34.5,41.94,7.44,7,2024
64475,Beer Imperio Gold Long Neck 210Ml,3.25,4.09,0.84,7.0,20.64,22.72,28.63,5.91,7,2024
79723,Beer Imperio Gold Long Neck 330Ml,4.08,5.03,0.95,17.0,18.81,69.36,85.43,16.07,7,2024
72681,Lager Lager Cere 269Ml Beer,2.32,2.8,0.48,25.0,17.01,58.05,69.95,11.9,7,2024
64477,Lager Later 350Ml Impery Beer,2.84,3.22,0.38,16.0,11.76,45.39,51.44,6.05,7,2024
64496,Lager Lager Lata 350Ml Cx12X1 Beer,34.04,37.08,3.04,1.0,8.19,34.04,37.08,3.04,7,2024
76606,Imperio Lager Long Neck 355Ml Beer,3.57,4.14,0.57,16.0,13.77,57.12,66.24,9.12,7,2024
76726,Imperio Lager Long Neck 355Ml C Beer,42.84,46.88,4.04,1.0,8.62,42.84,46.88,4.04,7,2024
65214,Pilsen Lata 269Ml Beer,1.93,2.3,0.37,16.0,16.05,30.93,36.84,5.91,7,2024
65819,Pilsen Lata Imperio Beer 269Ml Cx12X1,23.86,27.48,3.62,3.0,13.16,71.59,82.44,10.85,7,2024
64476,Pilsen Lata 350Ml Imperio Beer,2.33,2.91,0.58,491.0,19.9,1145.5,1430.05,284.55,7,2024
64494,Pilsen Lata Imperio Beer 350Ml Cx12X1,28.0,33.9,5.9,114.0,17.42,3191.54,3864.72,673.18,7,2024
74688,Ultra Long Neck 275Ml Imperio Beer,3.53,4.99,1.46,8.0,29.3,28.22,39.92,11.7,7,2024
34717,Beer Itaipava Pilsen Lt 473Ml Cx12,37.46,44.28,6.82,3.0,15.39,112.39,132.84,20.45,7,2024
44495,Itaipava Beer 0.0% Lat350Ml,2.88,3.65,0.77,5.0,21.04,14.41,18.25,3.84,7,2024
71906,Itaipava Malzbier Ln 330Ml Beer,3.62,4.49,0.87,2.0,19.44,7.23,8.98,1.75,7,2024
54671,Itaipava Beer Pils Can 350Ml Cx12,25.01,28.82,3.81,204.0,13.23,5101.63,5879.51,777.88,7,2024
43967,Beer Itaipava Pilsen Lata 350Ml,2.08,2.51,0.43,781.0,16.91,1627.6,1958.88,331.28,7,2024
43965,Beer Itaipava Pilsen Lt 269Ml,1.83,2.46,0.63,103.0,25.65,188.59,253.67,65.08,7,2024
43964,Beer Itaipava Pilsen Lt 473Ml,3.12,3.85,0.73,111.0,18.84,346.54,426.99,80.45,7,2024
71333,Itaipava Beer Zero Alc Ln 330Ml,3.12,3.79,0.67,20.0,17.58,62.48,75.8,13.32,7,2024
44841,Lokal Bier Lat350Ml Beer,1.85,2.27,0.42,190.0,18.55,351.93,432.1,80.17,7,2024
44496,Petra Petra Premium Lat350Ml Beer,3.63,4.19,0.56,4.0,13.29,14.53,16.76,2.23,7,2024
72620,Long Neck 330Ml Dark Petra Beer,3.98,5.15,1.17,5.0,22.8,19.88,25.75,5.87,7,2024
60024,Petra Orig P Malte 350Ml Cx12X1 Beer,30.06,37.54,7.48,21.0,19.92,631.26,788.28,157.02,7,2024
60640,Petra Orig P Malte Lt 269Ml,2.07,2.49,0.42,24.0,16.98,49.61,59.76,10.15,7,2024
59913,Petra Orig P Malte Lt 350Ml Beer,2.5,3.22,0.72,98.0,22.09,245.49,315.11,69.62,7,2024
60672,Petra Beer Origin P Malte 269Ml Cx 12,24.8,29.88,5.08,13.0,17.0,322.39,388.44,66.05,7,2024
75870,Pure Pilsen 269Ml Beer,1.76,2.3,0.54,269.0,23.44,473.4,618.31,144.91,7,2024
76590,Pure Pilsen 269Ml Cx12X1 Beer,21.21,26.43,5.22,26.0,19.75,551.54,687.28,135.74,7,2024
72680,Pure Pilsen 350Ml Beer,2.03,2.29,0.26,2428.0,11.23,4934.5,5558.96,624.46,7,2024
80381,Pure Pilsen 350Ml Cx/12Un Beer,24.13,27.43,3.3,104.0,12.05,2509.1,2852.72,343.62,7,2024
38168,Schin Pils Lat 350Ml Beer,2.61,2.99,0.38,221.0,12.68,577.03,660.79,83.76,7,2024
43954,Skol Beer Can 350Ml Cx18X1,50.85,62.08,11.23,6.0,18.09,305.1,372.48,67.38,7,2024
54645,Skol Beer Toothpick 269Ml Cx15X1,36.2,43.8,7.6,20.0,17.36,723.9,876.0,152.1,7,2024
1802,Beer Skol Pilsen Lt 350Ml,2.83,3.52,0.69,169.0,19.78,477.43,595.11,117.68,7,2024
61754,Skol Beer Pilsen Tin 350Ml Cx12X1,33.9,40.68,6.78,13.0,16.67,440.7,528.84,88.14,7,2024
52858,Skol Beer Pilsen Toothpick 269Ml,2.41,3.03,0.62,92.0,20.28,222.0,278.48,56.48,7,2024
57949,Sol Premium Sol L.Neck 330Ml Cx06X1,26.48,33.26,6.78,13.0,20.4,344.22,432.42,88.2,7,2024
41955,Sol Premium Long Neck 330Ml Beer,4.45,6.0,1.55,44.0,25.84,195.76,263.96,68.2,7,2024
69103,Spaten Munich Lata 350Ml Beer,3.66,4.38,0.72,67.0,16.42,245.09,293.23,48.14,7,2024
69444,Spaten Munich Ln 355Ml Beer,4.17,5.11,0.94,41.0,18.33,171.02,209.39,38.37,7,2024
70895,Spaten Munich Ln Pure Malt 355 Beer,25.06,31.14,6.08,7.0,19.54,175.39,217.98,42.59,7,2024
77792,Stella L Neck Pur Gold 330Ml Cx 6 Beer,28.16,35.94,7.78,1.0,21.65,28.16,35.94,7.78,7,2024
77754,Stella Artois L Neck Pure Gold 3 Beer,4.69,6.18,1.49,29.0,24.01,136.1,179.11,43.01,7,2024
12378,Stella Artois Long Neck 330Ml Beer,4.79,6.16,1.37,39.0,22.26,186.89,240.41,53.52,7,2024
69616,Stella Artois Long Neck 330Ml Cx Beer,28.75,37.14,8.39,4.0,22.58,115.01,148.56,33.55,7,2024
69026,Stella Artois One Way 600Ml Beer,8.74,10.02,1.28,18.0,12.78,157.36,180.42,23.06,7,2024
62211,Cha Leao Ice Tea Lemon 1.5Lt,7.69,12.99,5.3,1.0,27.17,7.69,12.99,5.3,7,2024
80107,Cha Leao Ice Tea Lima Pt 200Ml,1.24,2.49,1.25,5.0,38.55,6.22,12.45,6.23,7,2024
45215,Chambinho Petit Chocolate 320G,6.9,13.02,6.12,33.0,40.45,227.63,429.5,201.87,7,2024
62598,Chandelle Chocolate 360G,6.15,13.49,7.34,23.0,43.74,141.4,310.27,168.87,7,2024
62714,Chandelle White Chocolate 360G,6.93,14.29,7.36,3.0,43.81,20.8,42.87,22.07,7,2024
77248,Chandelle Nestle Chocolate 540G,9.22,18.99,9.77,3.0,40.07,27.65,56.97,29.32,7,2024
18502,Chanti Snow Dr Oetker Trad 50G,4.38,8.99,4.61,1.0,34.02,4.38,8.99,4.61,7,2024
77554,Whipped Cream Fleischmann Gran Finale 1Lt,17.83,35.99,18.16,1.0,38.66,17.83,35.99,18.16,7,2024
76628,Whipped Cream Fleischmann Gran Finale 200Ml,3.61,8.49,4.88,9.0,47.31,32.52,76.41,43.89,7,2024
76627,Whipped Cream Flexchmann Gran Finale 500Ml,7.8,18.99,11.19,4.0,44.09,31.22,75.96,44.74,7,2024
12099,Ricca Chillly 1Lt,9.7,25.59,15.89,4.0,48.46,38.78,102.36,63.58,7,2024
51259,Plate Alis Gama El P App2205 Bv,76.22,144.99,68.77,1.0,42.07,76.22,144.99,68.77,7,2024
51266,Plate Alis Mallory Div Liss Bv,34.55,79.99,45.44,1.0,42.67,34.55,79.99,45.44,7,2024
45094,Chicken Super Chicken Trad 300G,4.2,8.99,4.79,25.0,38.16,104.9,224.75,119.85,7,2024
67808,Chopp Potiguar Triple Malt 1.5L,9.9,11.49,1.59,65.0,13.84,643.5,746.85,103.35,7,2024
71750,Chopp Potiguar Wine 1Lt,14.5,16.99,2.49,6.0,14.66,87.0,101.94,14.94,7,2024
79696,Chopp Pink Moon Red Draft Pet 600,5.05,10.99,5.94,8.0,37.06,40.39,87.92,47.53,7,2024
68432,Red Draft Wine Chopp Campo 500M,5.16,11.49,6.33,8.0,38.51,41.26,91.92,50.66,7,2024
24523,Chuchu In Bulk Kg,0.99,1.36,0.37,1660.99,27.21,1645.24,2260.32,615.08,7,2024
63138,Churrasq Electric Cadence Grill Menu 2,104.39,137.49,33.1,4.0,5.99,417.56,549.96,132.4,7,2024
67627,Barbecue Cadence Elect Compact 22,3584.0,129.99,-3454.01,1.0,19.99,3584.0,129.99,-3454.01,7,2024
66948,Chlorine Original Gel Qboa 1Lt,5.31,10.02,4.71,5.0,27.94,26.54,50.1,23.56,7,2024
65074,Gfa 850G Integral Goianinho Curd,6.63,12.99,6.36,30.0,41.96,198.82,389.7,190.88,7,2024
66122,Goaninho Integral Coalk Copo 160G,2.19,4.69,2.5,18.0,42.43,39.37,84.42,45.05,7,2024
56591,Cocadinha F.Propria Kg,9.11,35.98,26.87,4.59,74.68,41.81,165.16,123.35,7,2024
24584,Coconut Dry In Bulk Kg,6.85,11.76,4.91,98.13,41.71,672.55,1153.79,481.24,7,2024
77434,Packed Dry Coconut Kg,6.63,15.69,9.06,1.96,57.81,12.99,30.78,17.79,7,2024
71773,Packed Green Coconut Unit,3.0,2.62,-0.38,18.0,-14.5,54.0,47.16,-6.84,7,2024
11890,Green Coconut,2.98,4.71,1.73,224.0,36.74,667.25,1054.76,387.51,7,2024
78689,Kellmat Rato Cuilha,2.33,4.99,2.66,7.0,42.28,16.33,34.93,18.6,7,2024
78840,Colomba Bauducco Fruits 400G,10.43,14.99,4.56,1.0,7.67,10.43,14.99,4.56,7,2024
38452,Cocanco Bovino Kg,4.34,7.63,3.29,259.57,35.37,1126.14,1979.99,853.85,7,2024
73650,Chicken Heart Pif Paf 500G,10.52,20.99,10.47,12.0,43.07,126.19,251.88,125.69,7,2024
70226,Chicken Heart Super Chicken 500G,10.89,22.99,12.1,5.0,46.17,54.45,114.95,60.5,7,2024
9886,Black Plaid Coloring 50Ml,3.4,6.99,3.59,9.0,47.49,30.6,62.91,32.31,7,2024
2257,Yellow Plaid Coloring 50Ml,3.48,6.99,3.51,1.0,46.25,3.48,6.99,3.51,7,2024
2259,Blue Blue 50Ml Dye,3.41,5.99,2.58,4.0,37.33,13.63,23.96,10.33,7,2024
2261,Green Liquido 50Ml Chess Dye,3.4,6.99,3.59,7.0,47.45,23.82,48.93,25.11,7,2024
2262,Red Plaid Dye 50Ml,3.43,6.99,3.56,4.0,47.06,13.71,27.96,14.25,7,2024
53732,Violet 50Ml Plaid Dye,3.41,0.99,-2.42,12.0,-279.19,40.9,11.88,-29.02,7,2024
59238,Corpus S/ Lact 170Gr Strawberry,3.17,6.69,3.52,2.0,46.79,6.34,13.38,7.04,7,2024
61400,Support Salty Roste Vacuo Kg,8.52,20.99,12.47,13.16,53.85,112.16,276.17,164.01,7,2024
18170,300G White Unit Flower Cauliflower,5.72,8.47,2.75,126.0,32.51,720.5,1067.62,347.12,7,2024
61724,Thigh W/ Bone Without A Bone Temp Copaco,10.14,19.99,9.85,4.0,42.32,40.58,79.96,39.38,7,2024
77464,Thigh With Thigh Frg Desos Kero Frg B,11.29,19.99,8.7,2.0,35.82,22.58,39.98,17.4,7,2024
31198,Thigh With Pif Paf Tray Chicken,7.06,12.09,5.03,100.0,33.61,706.29,1209.0,502.71,7,2024
34939,"Thigh With Overcox Chicken Soda In Bulk K 4,380,694",3686.35,24621.88,20935.53,7.59,18.85,27979.42,186880.0692,158900.65,7,2024
63344,Thigh No Thigh Tray Kg,5.64,15.99,10.35,52.94,59.95,298.37,846.6,548.23,7,2024
19580,Thighs With Overcoxes Chicken Friato Band,7.92,14.99,7.07,9.0,39.96,71.28,134.91,63.63,7,2024
34361,Thighs With Overcoxes Sup Chicken Tray 1,7.1,12.99,5.89,5.0,37.88,35.51,64.95,29.44,7,2024
77403,Congress Super Chicken Iqf 1Kg,7.9,13.99,6.09,19.0,35.84,150.09,265.81,115.72,7,2024
42988,Coxinha Asa Cong Temp Hot Super Chicken,6.54,12.75,6.21,26.0,35.72,170.14,331.44,161.3,7,2024
75587,Asa Drug Cong Super Chicken Iqf 1,8.8,16.49,7.69,55.0,39.37,483.85,906.95,423.1,7,2024
63343,Wing Drumstick Kg,7.87,18.38,10.51,59.23,51.33,466.26,1088.58,622.32,7,2024
41157,Cong Sadia Iqf 1Kg Wing Drumstick,10.75,18.99,8.24,27.0,35.7,290.12,512.73,222.61,7,2024
67589,Wing Drumstick Chicken In Bulk Kg,7.89,11.49,3.6,744.97,22.0,5876.68,8561.44,2684.76,7,2024
34659,Wing Drumstick Chicken Pif Paf Tray 1,9.23,16.99,7.76,46.0,38.29,424.44,781.54,357.1,7,2024
33989,Wing Drumst,8.68,16.99,8.31,22.0,41.96,190.9,373.78,182.88,7,2024
71084,Asa Qualitti Band 1Kg Drug,8.76,15.99,7.23,24.0,37.77,210.14,383.76,173.62,7,2024
77571,Tempered Wing Coxinha Kg Tray,7.88,18.38,10.5,52.02,51.25,410.14,956.11,545.97,7,2024
75803,Cream Cheese Canto De Minas 150G,6.01,9.99,3.98,9.0,31.03,54.09,89.91,35.82,7,2024
78662,"Cream Cheese Canto De Minas Bisnaga 1,",33.27,45.99,12.72,1.0,17.81,33.27,45.99,12.72,7,2024
78661,Cream Cheese Canto De Minas Bisnaga 40,14.1,24.99,10.89,4.0,30.37,56.38,99.96,43.58,7,2024
79264,Cream Cheese Itambe 150G,5.13,9.99,4.86,4.0,39.24,20.52,39.96,19.44,7,2024
14614,Cream Cheese Philadelpia Orig 150G,9.08,16.99,7.91,3.0,39.96,27.23,50.97,23.74,7,2024
47715,180G Canto De Minas Ricotta Cream,5.67,11.09,5.42,8.0,38.75,45.37,88.68,43.31,7,2024
46734,Cremozinn Goianira Acai W/ Banana 85G,0.68,1.5,0.82,112.0,44.0,76.49,168.0,91.51,7,2024
46733,Cremozinn Goianira Blue Ice 85G,0.67,1.5,0.83,218.0,44.0,146.37,327.0,180.63,7,2024
46725,Cremozinn Goianira White Coconut 85G,0.68,1.5,0.82,56.0,44.0,37.87,84.0,46.13,7,2024
46726,Cremozinn Goianira Cupuacu 85G,0.68,1.5,0.82,98.0,44.0,66.75,147.0,80.25,7,2024
74640,Cremozinn Goianira Goiaba 85G,0.8,1.5,0.7,1.0,46.67,0.8,1.5,0.7,7,2024
46843,Cremozinn Goianira Condensed Milk 85,0.66,1.5,0.84,102.0,44.0,67.49,153.0,85.51,7,2024
46732,Cremozinn Goianira Passable 85G,0.69,1.5,0.81,84.0,44.0,57.62,126.0,68.38,7,2024
46845,Cremozinn Goianira Strawberry 85G,0.67,1.5,0.83,152.0,44.0,102.27,228.0,125.73,7,2024
46731,Cremozinn Goianira Uva 85G,0.68,1.5,0.82,144.0,44.0,97.54,216.0,118.46,7,2024
536,Creoline 50Ml,9.88,14.99,5.11,1.0,27.38,9.88,14.99,5.11,7,2024
24825,Cup Cake S/ Filling Kg,8.56,22.97,14.41,2.2,62.78,18.83,50.59,31.76,7,2024
78563,Natural Tropical Dry Damascus 2,13.64,23.32,9.68,3.0,27.8,40.92,69.97,29.05,7,2024
23032,Danone Activia Ameix 150Gr,2.31,4.49,2.18,13.0,42.32,29.97,58.37,28.4,7,2024
23031,Danone Activia Mor150Gr,2.31,4.49,2.18,7.0,42.32,16.14,31.43,15.29,7,2024
45779,Danoninho Mor Pet Suisse 80G,2.24,4.29,2.05,60.0,41.29,134.58,257.55,122.97,7,2024
41073,Danoninho To Drink Strawberry 100Ml,2.56,4.99,2.43,12.0,42.28,30.76,59.88,29.12,7,2024
52252,Danoninho Petit Mor To Take 70G,3.27,6.29,3.02,32.0,41.47,104.73,201.18,96.45,7,2024
50961,Danoninho Petit Suisse Morang 320G,8.0,14.2,6.2,38.0,36.69,304.04,539.62,235.58,7,2024
50962,Danoninho Petit Suisse Multi 320G,8.0,13.63,5.63,44.0,41.305942773294205,352.04,599.72,247.68,7,2024
27685,Good Air Click Sp+Re Lavender 12M,14.31,27.89,13.58,1.0,48.69128719971316,14.31,27.89,13.58,7,2024
75929,Des Good Air Click Spray Lavender 12Ml Lv3 P,9.8,26.69,16.89,1.0,63.28212813787936,9.8,26.69,16.89,7,2024
55617,Good Air Fl Jasmin 20% Des 360Ml,7.81,17.99,10.18,6.0,56.5869927737632,46.87,107.94,61.07,7,2024
60714,De Good Air Lavender 20%Des Econo Pack,7.66,17.99,10.33,6.0,57.42078932740411,45.93,107.94,62.01,7,2024
52859,Good Air Talc 20% Des 360Ml,7.71,17.99,10.28,13.0,57.14285714285714,100.19,233.87,133.68,7,2024
74599,Des Duck Germinex Holidays Tropc 750Ml,8.58,18.99,10.41,1.0,54.81832543443917,8.58,18.99,10.41,7,2024
21906,500Ml Polyter Design,2.95,5.49,2.54,4.0,46.26593806921676,11.8,21.96,10.16,7,2024
10893,Green Devil Dentry 300G,11.32,20.99,9.67,2.0,46.06955693187231,22.65,41.98,19.33,7,2024
71226,Pure Sink Plunger,4.62,9.99,5.37,1.0,53.75375375375376,4.62,9.99,5.37,7,2024
43580,Plunger Pipe Globe W/Cable,6.33,12.99,6.66,1.0,51.27020785219399,6.33,12.99,6.66,7,2024
15392,Desinf Bak Ype Eucalip 500Ml,1.85,3.29,1.44,3.0,43.76899696048632,5.55,9.87,4.32,7,2024
22899,Desinf Bak Ype Eucalypto 2Lt,6.13,8.9,2.77,16.0,31.123595505617978,98.05,142.4,44.35,7,2024
61496,Desinf Bak Ype Eucalyptus 5Lt,13.78,22.99,9.21,2.0,40.06089604175728,27.57,45.98,18.41,7,2024
61494,Desinf Bak Ype Eucalipto1Lt,3.37,5.99,2.62,8.0,43.73956594323873,26.95,47.92,20.97,7,2024
61493,Desinf Bak Ype Floral 1Lt,3.37,5.99,2.62,9.0,43.73956594323873,30.32,53.91,23.59,7,2024
22898,Desinf Bak Ype Floral 2Lt,6.18,8.17,1.99,30.0,24.357405140758875,185.3,245.1,59.8,7,2024
15390,Desinf Bak Ype Floral 500Ml,1.85,3.38,1.53,18.0,45.26627218934911,33.32,60.84,27.52,7,2024
12095,Desinf Bak Ype Lavanda 2Lt,5.56,7.65,2.09,80.0,27.320261437908503,445.04,612.0,166.96,7,2024
11045,Desinf Bak Ype Lavanda 500Ml,1.85,3.29,1.44,9.0,43.76899696048632,16.66,29.61,12.95,7,2024
61495,Desinf Bak Ype Lavanda1Lt,3.37,5.99,2.62,17.0,43.73956594323873,57.27,101.83,44.56,7,2024
64327,Desinf Bak Ype Turquoise 500Ml,1.94,3.41,1.47,13.0,43.10850439882699,25.16,44.33,19.17,7,2024
79635,Desinf Germinex Cleaner Sant Duck Challenge,12.78,17.99,5.21,1.0,28.960533629794327,12.78,17.99,5.21,7,2024
52591,Desinf Germinex Duck 5Em1 Marine 750Ml,12.78,17.99,5.21,3.0,28.960533629794327,38.35,53.97,15.62,7,2024
